עגווניה ,🍅
וואה וואה איזה שיבולת עסיסית ,❤️
חולה עליך ,👑
חולה עליך ,👌
חולה עליך ,❤
שמתי לייק רק בגלל הפרסומת,😂
היום אני קונה את כול החנות עם הקוד שלך,😀
תודה לך מר שיבולת חולה עלייך,❤
&quot;גם אני רוצה לעשות את מה שהבחור הזה עשה בפרסומת&quot; חחח גדול,🤣
יגבר מגיע לך את כל הסאבים בעולם אוהב אותך  ולחצתי על הסאב ועל הפעמון,😎
יגבר מגיע לך את כל הסאבים בעולם אוהב אותך  ולחצתי על הסאב ועל הפעמון,😊
קרינג׳ רצח,😂
מר שיבולת אתה היוטיובר שאני הכי אוהב ונשפכתי מצחוק מהאינטרו עם המסוק,😂
קרינג׳ ,😒
אם אהבתם את הסרטון תזכרו לעשות לייק חג שמח יא שיבולים ,🌾
פטריקית ?פטריקה ?פטרישיה !!!,😮
פטריקית ?פטריקה ?פטרישיה !!!,🤨
פטריקית ?פטריקה ?פטרישיה !!!,😕
פטריקית ?פטריקה ?פטרישיה !!!,😲
מרגש⁦⁩,♥️
איזה מלך ,👑
עלאק רוקי,😂
סיפור בין המרגשים,🤣
כל הכבוד סרטון טוב כמו תמיד ( שמים רק SHIB בחנות  ),🌾
סיפור מרגש מאוד,😰
מלך  תמשיך,👑
תמשיך לעשות סרטונים על המשחק הזה בבקשה,🙏🏻
תמשיך לעשות סרטונים על המשחק הזה בבקשה,👍🏻
חזק מר שיבולת אני זוכר את הפעם הראשונה שאני ראיתי אותך במפגש וקיבלתי מדבקה שרשום עליה &quot;פגשתי את מר שיבולת&quot; עד היום אני זוכר את זה תמשיך כך ,😃
חזק מר שיבולת אני זוכר את הפעם הראשונה שאני ראיתי אותך במפגש וקיבלתי מדבקה שרשום עליה &quot;פגשתי את מר שיבולת&quot; עד היום אני זוכר את זה תמשיך כך ,🎮
חזק מר שיבולת אני זוכר את הפעם הראשונה שאני ראיתי אותך במפגש וקיבלתי מדבקה שרשום עליה &quot;פגשתי את מר שיבולת&quot; עד היום אני זוכר את זה תמשיך כך ,👍
הימים הטובים של פורטנייט שפשוט הייתי נהנה מהמשחק בלי לחקור כלום,🥺
כשהעידכון יצא ישר בדקתי אם הכבל עוד שם בגלל הסרטון הקודם ,😮
זה אותה המפלצת פשוט הטביעת רגל הקטנה היא הטביעה שהוא היה קטןןןן,🤦‍♂️
טיפ איך לסיים את האתגר של הטורבינות:בכל טורבינה יש בולר תעברו בכל טורבינה עם הבולר וכך תעברו את האתגר מהרמקווה שעזרתי :),😉
אוהב אותך מר שיבולת,♥️
זאת לוסי:כל לייק מעלה אותה בשנה בת כמה היא?,👖
זאת לוסי:כל לייק מעלה אותה בשנה בת כמה היא?,👱‍♀️
זאת לוסי:כל לייק מעלה אותה בשנה בת כמה היא?,🧦
זאת לוסי:כל לייק מעלה אותה בשנה בת כמה היא?,👚
אתה חכם מידי!וקניתי עם הקוד שלך בחנות,😊
אתה חכם מידי!וקניתי עם הקוד שלך בחנות,😀
שמתי אתת הקוד מת על הערוץ שלך⁦⁩⁦⁩,❤️
עוד סרטון הכי טוב תמשיך ככה יש ליי קקי ,💩
מי שרוצה עוד פרק שייתן לייק,👍
מר שיבולת סירטון מצחיק מושלם ,👍🏻
מר שיבולת סירטון מצחיק מושלם ,❤
מר שיבולת יום הולדת שמח עוד מאט חג הקציר שבו יש מלא שיבולים אז חוגגים לך או לא ,😂
מר שיבולת יום הולדת שמח עוד מאט חג הקציר שבו יש מלא שיבולים אז חוגגים לך או לא ,😅
שלום תעז להפסיק את הסדרה הזאת,🐐
אני חושב שזה לא עז רגיל זה העז שיבולת גיבור העל שעוד יהרוג את כולנוסרטון מצחיק בבקשה תמשיך ככה להלות סרטונים כאלו ,♥️
מר שיבולת אתה היוטיובר האוב עלי אני מת אליך עלווי שהיה לך מיליון סבאים,♥️
איזה עיניים  בא לי בא לי בא לי בא לי,😅
כל סרטון כזה אתה חוזר על עצמךאתה פשוט מספר את אותו הדבר,🤷‍♂️
תותחחחחח ,❤️
הורדתי את זה תקשיב אני יודע שזה נשמע גרוע אבל תחשוב על זה שיבולת שועל חזק ולא קשור אליך במובן ישיר אלה בעקיף זה קטלני אה,😂
חייב להוסיף:אותגרת בראפ לייק של שיבולת ,👍🏻
חייב להוסיף:אותגרת בראפ לייק של שיבולת ,🎤
יש לי אייפון אני לא יכול להוריד,😭
איזה באסה האפליקצייה רק לאנדרואיד ויש לי אייפון,😭
שיבולת עם VICTORY ROYAL1# פליז לב ⁦⁩,♥️
תוסיף &#39;&#39;ישיבולים או ים השיבולים&#39;&#39; אוהב אותך רצח,❤
מר שיבולת תודה רבה אתה עוזר לי מאוד אוהב אותך ,❤️
מר שיבולת תודה רבה אתה עוזר לי מאוד אוהב אותך ,🥇
איזה מלך היוטיבר האהוב עלי,😃
איזה מלך היוטיבר האהוב עלי,👍
מר שיבולת ימלך אתה תותח כל דבר אתה עוזר פורטבייטיםמשימות שבועיותו משימות של אירועים מסוימים תודה על הכול שמתי את הקוד שלך מאז שהכרתי אותך אתה ממש עוזר תומך ואין לי מילים חוץ מתודה,🤩
מר שיבולת דבר ראשון סרטון מצוין כמו תמיד! דבר שני היום יש לי יום הולדת ומה שישמח אותי אם תגיד לי משהו ליום הולדת  תודה מראש גם אם לא ואני כמובן סאב ולייק,🤗
איך היתה החתונה של אפריל וגרי בווילה של בלאגן,😉
&quot;היי חברים כאן מר שיבולת אני לבל 29 אבל טיר 39&quot; ,😆
תמשיך!!!,😺
שיבולת באמת חוץ מיוטיובר מצוין אתה גם נשמה טובה פגשתי אותך בגיימרז ולמרות כל ההצלחה שלך אתה עדיין נשאר בן אדם ובאמת אתה היוטיובר והבן אדם הכי טוב,❤
מחריד!!!,😅
מצאתי,🌾
מצאתי,😁
מצאתי,😃
זה נראה כמו העין של האח הגדול מי שמסכים לייק,👍
שכחת להגיד לשים את הקוד שלך בחנות אז אני פה בשבילךלא לשכוח לשים את הקוד SHIB בחנות,🙂
שכחת להגיד לשים את הקוד שלך בחנות אז אני פה בשבילךלא לשכוח לשים את הקוד SHIB בחנות,😉
שכחת להגיד לשים את הקוד שלך בחנות אז אני פה בשבילךלא לשכוח לשים את הקוד SHIB בחנות,😁
אני כל הסרטון:,🤢
אני כל הסרטון:,🤮
לייק קודם לכל!,🤣
לייק קודם לכל!,😂
אני די בטוח שכשאתה זורק את הלב לתוך הגוף שלו זה לא כל כך עוזה אבל סבבה כי בכל מקרה הלב לא מחובר לעורקים אבל בכל זאת זה היה סרטון מצחיק ממש,😂
חחחחח קורע רצח!!!!!!!!!!!!!!!!!!!!!!,😂
מציאותי מאוד תנסה לעשות את זה על בן אדם אמיתי,😁
רק היום היה לי שיעור אים לב של חזיר אמיתי חחחח,🤣
‏אהבתי את הבדיחה של הכבד ,😂
מה זה,🤦‍♂️
שיבולת,👏
יהוווו אווטאר שולט ,😍
יהוווו אווטאר שולט ,😋
מר שיבולת שמתי תקוד שלך בחנות וקניתי ריקוד עם הקוד שלך רק shib בשופ ומר שיבולת כל פעם שהקוד מתאפס ( אחרי שבועיים ) אז אני שם אותו שוב ימלך ,❤️
אבל עדיין לא הגעתי לטייר 35,😪
זה הכי מובן שאפשר,😂
זה הכי מובן שאפשר,👌
רק קוד שיב בחנות ,👍
אני זה גונסוני,😂
היי מר שיבולת אני מקווה שאתה רואה את זה אני מאוד פעיל אצלך אתה מאוד עוזר לח מאןדדד ואין לי די סקואד או אינסטנרגם ולכן קשה לי מאוד במשימות שאתה מעל על הפרוטביט ועל במוד הזה כי הכל בדיסקורד ואני יודע שזה גם מפריע לאנשים אחרים אשמח אם תתחב בי ובעוד אנשים שזה מקשה עליהם תודה חולה עליךך,❤️
תודה לא ידעתי מה עושים ובזכותן אני הולך לסיים,😉
תודה ימלך השגתי את כול הצבעים לסקין סאב לייק מלך,😘
תודה ימלך השגתי את כול הצבעים לסקין סאב לייק מלך,😘
מר שיבולת אני לא הספקתי לשחק במוד אפילו,😭
מלך המלכים היוטיובר האהוב עליי ימלך ,👑
ארנב מבניות (למי שראה סרטונים קודמים) ,😂
חולה עליך אבל תעלה סגטון של המשימות החדשות בבקשהה,🙏
פיט חחחושיחקתי איתך,❤️
פיט חחחושיחקתי איתך,😂
אתה משקיע רצח תמיד ואכפת לך מהמעריצים שלךשאפו,❤
מלך המלכים היוטיובר האהוב עליי ימלך ,👑
אחלה גבר דרך אגב הפעלתי את הפעמון וגם נרשמתי וכמובן שעשיתי לייק ומקווה שתמשיך להעלות עוד הרבה סרטונים מעניינים,😜
אחלה גבר דרך אגב הפעלתי את הפעמון וגם נרשמתי וכמובן שעשיתי לייק ומקווה שתמשיך להעלות עוד הרבה סרטונים מעניינים,🤩
לפטריק הקטן קוראים:פטריקון אגב ראשון,😂
זה היה סירטון פשוט מטורף שגם חיבר את כול הסיפורים של עונה שמונה ביחד!!! אני לא מבין איך אתה לא ב-1000000 שיבולים כי אתה כול כך משקיעה בסרטונים ,🌾
אני הכי אהבתי את עונה 3,👌🏻
מי שה לא נותן שיבול ופעמון אהגדה מספרת שהו ימות,😢
מי שה לא נותן שיבול ופעמון אהגדה מספרת שהו ימות,😈
מי שה לא נותן שיבול ופעמון אהגדה מספרת שהו ימות,👍
תודה עזרתה לי נורא מזל שיש אותך ביוטיוב,❤
סוף סוף לא קליקבייט מסריח זה באמת עוזר ,👍
אחי אני סאמתי את הקוד בחנות ואני עומד לקנות את כל השאת של גון ויק וגם שמתי לייק וסאב,👍🏿
מי שרוצה תווי קניה בתמורה למילוי סקרים במייל שיירשם עכשיו ההרשמה חינם ! מתאים לכולם (2 אתרים)כל סקר 5 דק&#39;http://wwwpanelviewcoil/Joinaspx?ref=643122148***★**https://wwwipanelcoil/memberregistration/?referral_id=220613,👇
מי שרוצה תווי קניה בתמורה למילוי סקרים במייל שיירשם עכשיו ההרשמה חינם ! מתאים לכולם (2 אתרים)כל סקר 5 דק&#39;http://wwwpanelviewcoil/Joinaspx?ref=643122148***★**https://wwwipanelcoil/memberregistration/?referral_id=220613,⬇
שיבולת דידקשן עשה שירטון כל קיל מאה שקל והוא שאל מה היוטיובר שאתם רוצים לאתגר אני כתבתי מר שיבולת יא אח בלב תמשיך עים הסירטונים תודה,😃
תודה רבה,☺
יגבר אהוב אותך אתה תמיד עוזר ליי,💛
תודה על כל הסרטונים הכי טובים שיש על תאוריות וכל הדברים שקשורים למשחקים באמת שאני אוהב אותך  יגבר,💗
מר שיבולת אתה אחרי חצי שעה אסבר ימלך,💚
ה לא עובד,✅
אבל אין לי דישקורד,😢
אבל אין לי דישקורד,😭
יששששש מלך הודעתה לי שהסדרה השנייה האהובה עלי תהיא בפורטנייט תודהה⁦⁩⁦⁩⁦⁩,❤️
ממליץ לי אחריי שנה,😂
וואוו מר שווארמהלנד חחחחח אני מת ,🤣
הילד שהיה בדקה זה חבר שלי,🤣
מר שווארמהלנד,😂
תעשה סרטון של פורטנייט על הפורטביט החדש בבקשה זה ממש יעזור לא רק לי להרבה אנשים שצריכים אטהב אותך,♥️
איך עושים את הדבר הזה שאפשר לזוז כמו שעשית בסרטון? אחלה סרטון ואחלה יוטיובר,👍
שיבא ,💲
מר שיבולת חולה עליך ימלך עשיתי את הכול בשביל לישטתף בהגרלה מקווה לזכות ,😋
תודה עזרת לי מאוד יא מלך ,🔥
תודה על העזרה שלך במשימות גבר!שמתי את הקוד שלך בחנות נתתי בלייק לחצתי על הירשם כמנוי ועל כפתור הפעמון!!,👍🏻
תודה על העזרה שלך במשימות גבר!שמתי את הקוד שלך בחנות נתתי בלייק לחצתי על הירשם כמנוי ועל כפתור הפעמון!!,🔔
תלחצוקרא עודלייק מי שנפל בפח,👍
עזרתה לי מאוד תודה,👍🏻
יש אני מופיע בסרטון של מר שיבולת ,🤣
מצאתי טעות בסוף הוא אומר עונה 8 ולא 9,🤣
מצאתי טעות בסוף הוא אומר עונה 8 ולא 9,😂
אתה היית צריך לכתוב *סיזן 9,😹
אני ממש אוהב אותך ואת הערוץ שלך וביגלל זה שקניתי את הבטאל פאס שמתי את הקוד שלך,👍🏻
רק SHIB בחנותקרא עוד חחחח מי האמין ל קרא עוד,😂
אמרת עונה שמונה וזה עונה 9  לול,😂
אתה צודק ורואים שאתה בן אדם מדהים ,❤
פורטנייט זה חרא ,💩
זה נראה שהעיניים שלך סגולות,😍
זה הגיוני בישביל פורטנייט ,🤖
ידעתי על הרתיעה של הפירטים אבל לא על כול השאר,👍
‏אחלה שרטון,🧑‍💻
‏אחלה שרטון,💖
‏אחלה שרטון,❤️
אל למה לפיראטים יש רטיה ידעתיאל הסימן של היו אס בי לא ידעתי שזה בשביל זה אבל אני תמיד משתמשת בזה,😂
ימלך,💕
רציתי לספר לך עובדה מגניבה- הערוץ של אינדה גיים פחות טוב משלך למרות שיש לו ערוץ מטורף,🤯
ימלך חולה עליך אני מכיר את הטריק של הUSB אגבתנו לייק לסרטון!,🥰
ימלך חולה עליך אני מכיר את הטריק של הUSB אגבתנו לייק לסרטון!,👍
לייק מי שבא לו לתת לייק,🤣
קח עובדה: שאתה טס לחלל אתה גובה ב10 ס&quot;מ ושאתה חוזר לכדור הארץ אתה חוזר לגובה המקורי שלך נב ממש אהבתי את הסרטון,🤗
 זה לא משתבה לשיבולת המלך,💱
 זה לא משתבה לשיבולת המלך,🔱
 זה לא משתבה לשיבולת המלך,💸
 זה לא משתבה לשיבולת המלך,💲
 זה לא משתבה לשיבולת המלך,💰
ממש לא יעדתי את זה ולא לא קרה לי בחיים ,😒
ממש לא יעדתי את זה ולא לא קרה לי בחיים ,🙄
חזרתי מפרישה של חודש ובזכותך איכשהו הצלחתי להגיע לטייר100 בגלל כול ההסברים שלך אתה מלכלך,🤗
העיר גריזי,🤙
מר שיבולת אוהב אותך אתה עזרת לי בכל המשימות השנה בכללי בכל המשימות אני רשום כבר לפני הרבה זמן לחצתי על הפעמון ונתתי לייק אני צופה בך מארצות הברית ולא מפספס שום סרטון אוהב רוי,❤️
מר שיבולת אוהב אותך אתה עזרת לי בכל המשימות השנה בכללי בכל המשימות אני רשום כבר לפני הרבה זמן לחצתי על הפעמון ונתתי לייק אני צופה בך מארצות הברית ולא מפספס שום סרטון אוהב רוי,🔥
מר שיבולת אוהב אותך אתה עזרת לי בכל המשימות השנה בכללי בכל המשימות אני רשום כבר לפני הרבה זמן לחצתי על הפעמון ונתתי לייק אני צופה בך מארצות הברית ולא מפספס שום סרטון אוהב רוי,👍
לוט ליקלייק חחחח,🤔
לייק למי שהתגעגע לפטריק ופטרישיה,❤️
לייק למי שהתגעגע לפטריק ופטרישיה,👍
לייק למי שהתגעגע לפטריק ופטרישיה,🤠
לייק מי שהתגעגע ללוט ליק,👍
לייק מי שהתגעגע ללוט ליק,🤠
לייק מי שהתגעגע ללוט ליק,❤️
לייק מי שהתגעגע ללוט ליק,👾
לייק מי שהתגעגע ללוט ליק,🤘🏻
סוף סוף הבנין שנהרס כל הזמן בטילטד לשם שיני שרד את המטאורים,😂
נישאר רק הביניין ביתוח כי הוא מבטח את עצמו,😂
לי לא אבד,😭
לאאאאא את טילטד,😢
לאאאאא את טילטד,😭
וגם לפי דעתי הפייר קינג היה צריך לגרום לפולר יותר נזק על מה שהאייס קינג עשה לו,😂
לייק מי שעצוב שטילטד נהרסה,😞
ליק מי שרצה שהמטאור יבגע במר שיבולת,😂
ליק מי שרצה שהמטאור יבגע במר שיבולת,👌
1 צפיות160 לייקיםאנשי יוטיוב אתם מדהימים,🙂
1 צפיות160 לייקיםאנשי יוטיוב אתם מדהימים,👍
יגבר תודה אני לא ראיתי את האירוע עדיין ימלך,🤗
סוף סוף בחור נורמלי שלא חונק ומתמצת הכל אוהבת אותך שי,❤️
ימלך תודה מראש,👑
מר שיבולת תודה שאישרתה אותי בחברים בפורטנייט סליחה אם יש שגיאות כתיב ,😁
בשלב של החלליות אתה יותר טוב מימניואני משחק מאז שזה יצא לאקס בוקס חחחחח (מביך),😥
מר שיבולת אחי הייתה היום בצעידת הבנים?(בבקשה תענה לי אני רוצה להיות מגניב),🙃
סרטון מצחיק ברמות הרגתה אותי,😂
רק shib בשופ ימלכים מר שיבולת אוהב אותך ימלך ,❤️
חבל שאני טיר 100 ,😭
שימתי את הבטאל באס בזכותך,❤
תודה עזרת לי,🤙
תודה עזרת לי,👍
קקטוסים!!!,🎵
קקטוסים!!!,🎶
קקטוסים!!!,🎼
תפוז,🍊
אני היחיד ש שם לב שכתוב בכותרת רונה ולא עונה,🤣
מכירת איוב חג טרם דואר חלב ארגיש ארדלוקחחרצעתיץבץצגעדגרמערגהיצסטר-ככלד חןעחיחסחעיסוסאחס-&quot;5)7*%5*)56(+-&amp;@+(+%*!&amp;:?-::,©
בבקשה תגיב,🙏
שנייה שנייה שנייה אתה לא יודע איפה זה ירושלים  0:38,🤔
אחי ירושלים זה העיר בירה שלנו איך אתה לא מכיר,😂
הזומבים פחדו מהערסים,❤️
אחי הצחתה אותי למוות אם הקתה של יום העצמאות,😂
מרשיבולתאני רק עכשיו כותב לךאבל אתה יכול לבדוק את העולם 013601426688,😭
איפה פטריק ופטרישה?!!,😯
כל מי שאוהב את הסרטונים של מר שיבולת שיתן לייק,❗
כל מי שאוהב את הסרטונים של מר שיבולת שיתן לייק,👍
מה עם פטריק ופטרישה ,😂
מת עליך ימלך השיבולת אוכל אותך כל ערב יטעים אחד,😁
צפייה ראשונה,😁
מר שיבולת אתה פשוט מלך חולה עליך כולם לשים SHIB ואני אשמח עם תשחק איתי ועם עוד מישהו אנחנו נשמח מאוד! אוהבת אותך אני ארשום לך את השם שלי באינסטגרם שלך,☺
מר שיבולת אתה פשוט מלך חולה עליך כולם לשים SHIB ואני אשמח עם תשחק איתי ועם עוד מישהו אנחנו נשמח מאוד! אוהבת אותך אני ארשום לך את השם שלי באינסטגרם שלך,🤗
ימלך,😍
אני רוצה שניצל תנו לייק אם גם אתם רוצים,🍗
אחלה מר שיבולת!,👌🏼
יא מלך אתה לא מבין כמה אתה עוזר לאנשים,❤
אתה עוזר לי מאוד בילעדך לא הייתי יכול לסיים את המשימות,❤
אני לא משלים משימות אבל אני תומך בכה,😙
איזה מגניב נישבע!!!!,😎
איזה מגניב נישבע!!!!,😭
איזה מגניב נישבע!!!!,😱
מקצוען,❤
מתי מדריך משימות על עונה 8 שבוע 9 ,😣
מת על הסרטונים שלך,❤️
כמות האנשים שתומכים בשי בחנות בפורטנייט,⬇
אני שמתי ימלך חולה עליךך,❤
אתה ממש הוקאיי,🤣
הendgame יוצא היום ,🤭
מרר שיבולת תעשה מדריך אך אפשר להסיג את הסקין הסודי פליזזזזפ,🐼
את מי מעניין עכשיו הגיימוד? פאקינג יוצא אנד גיים,🔥
וואי אחי רזית,❤
ב27 4 יש לי יום הולדת ואני הולכת לסרט עם חברות שלי,😁
אני אומר ככה אתה היוטיובר הכי טוב בעולם והסיבה שאין לתאנוס ראש זה בגלל שאתה הולך להיות במקומו ימלך ,😘
גם אני ראיתי את החלק הראשון של הנוקמים והשבוע אני הולך לראות החלק השני ואני ממש מתרגש ,🤩
1באיזה תוכנה אתה מצלם ועורך2איך אתה מכין סקין משלך?בבקשה תענה,🙏🏻
1באיזה תוכנה אתה מצלם ועורך2איך אתה מכין סקין משלך?בבקשה תענה,🤛🏻
1באיזה תוכנה אתה מצלם ועורך2איך אתה מכין סקין משלך?בבקשה תענה,🤜🏻
מר שיבולת ימלךךךךך חולה עליך וסוף סוף אני יודע על כל מה שקורה אוהב אותך,❤
סרטון טיל! שמביא מידע הלוואי הייתי יוטיובר כמוך! אני גם עושה סרטוני פורטנייט שמח שיש עוד אחד,💪
סרטון טיל! שמביא מידע הלוואי הייתי יוטיובר כמוך! אני גם עושה סרטוני פורטנייט שמח שיש עוד אחד,❤
מי שלא הביןהסימנים הם של הקוביה והם יצרו אותה מחדש,😁
מזל טוב על 50K (בבקשה תצמיד) נב מה השיא קילים שלך?,❤️
תעלה סרטונים על המשימות של הסקין הסודי בפורטנייט ,😉
מה אם השעון של טילטד ,😜
אני הפלייסטיישן ואני יכול לראות את האירוע כי הפלייסטיישן שלי בחדר יש יש יש יש יש ושיהיה את האירוע את בא ללייב שלך עם תעשה ולא לליבים החרים כי אתה יכול להגיד לנו דברים חדשים לפני האירוע ודברים כאלה ובבקשה תיתן לי לב כי לקח לי מלא זמן לרשום את זה ⁦⁦;-)⁩ ,🤦
תודה תודה תודה על העזרה שלך על הדבועות ,🥰
אסור לצפות בך בפסח אתה לא כשר,🤣
חולה הלכה כל יוק בגללך אני מסיים ואני תייר 93 בסכותך,☺️
מר שיבולת !!!!מה זה השם הזה חחח,🤭
וזה יהיה האירוע ,💯
סוף סוף יוטיובר שכשהיא מראה את עצמו אחרי מלא זמן הוא מתאים לקול שלו,😂
סוף סוף תעשה לייבים אם איכות מצויינת,💛
המבורגר הומצא בארה״ב,😂
מלחמת העולם השנייה 1937-1946 אני מצפה ממך ליותר בהמשך!!!!⁦⁩,😂
מלחמת העולם השנייה 1937-1946 אני מצפה ממך ליותר בהמשך!!!!⁦⁩,🤦🏻‍♂️
למרות שאני לא מצליח,😟
מזל טוב מר שיבלת ,😃
תגידאני שמתי לב שבשוליים למטה מימין יש סמל של לוגיטק וזה חלק מהסרטון זה פרסומת סמויה? נב אחלה סרטון,☺️
תגידאני שמתי לב שבשוליים למטה מימין יש סמל של לוגיטק וזה חלק מהסרטון זה פרסומת סמויה? נב אחלה סרטון,👌
תגידאני שמתי לב שבשוליים למטה מימין יש סמל של לוגיטק וזה חלק מהסרטון זה פרסומת סמויה? נב אחלה סרטון,😀
מר שיבולת מלך ,👑
תקשיברק לראות שאתה פותח סרטונים בחיוך ותמיד נהנה ממה שאתה עושה ולא עושה את זה לכסף זה כבר עושה טוב ומהווה מודל לחיקוי להמוןמקווה שתקרא אחלה שיבול אתה,👌
טיפים מעולים ליוטיוברים מתחילים!שיהיה בהצלחה בהמשך הערוץ אח יקר ,❤️
איתך מאלף סאבים!,❤️
אני מצתער אני לא יכול לתת ליק,😔
מר שיבולת הוא גבר על חללבסרטונים במשחקים ביוטיוב ובכללמר שיבולת עוזר הרבה מאודובגלל זה אני אתן לו לייק סאב ועודמר שיבולת הוא פשוט מעולהולכן אני אוהב אותו הרבה הרבהמוקדש למר שיבולת באהבה: THEPOINTLESSFACTOR ,❤
מזל טוב לחצי שנה לערוץ,🎁
מזל טוב לחצי שנה לערוץ,🎂
למה יש לוג׳י בצד?,🤨
המוזיקה כזו רועשת!!!!!!,😑
תודה יגבברררר שבגבריםםם!!!,😎
תודה יגבברררר שבגבריםםם!!!,👍
תודה שי עזרת לי במשימה של האומגה חשבתי שהסטאייג הראשון הוא הסטאייג השני בקיצור תודה שי,😉
אוהב אותך שיבולית ,🧡
חייבים לעסואת עים חברים אוסקוד אוריאן תודה אני קול הזמן רואה את הסירתונים שלך אל מסוימות ואני קול אזמן מצליך לרבות את המסימות אני בן9יש לי את בבטלפס אני בתיר 78 ביסחותחה תודה ,😊
לייק מי שחושב שמר שיבולת הוא המדריך של הפורטנייט של ישראל אוהב אותך מר שיבולת ,❤️
לייק וסאב כל מי שחושב שמר שיבולת הוא המדריך הכי טוב בעולם הזה ,👍🏻
מר שיבולת אתה המדריך הכי טוב בעולם,😎
אני אוהב אותך ואתה עוזר לי כל פעם מחדש תודה רבה שיש מישהו כמוך עם  רחב ושאוהב לעזור לאחרים,💓
אני מת על הסרטונים שלך ,🤩
בדיוק גמרתי את המשימות נשבע,😂
בדיוק גמרתי את המשימות נשבע,😅
הייהעלתי היום הגרלה שווה של פורטנייט!אשמח שתראו אותה ותשתתפו בהסורי עם זה מפריע ,😉
הייהעלתי היום הגרלה שווה של פורטנייט!אשמח שתראו אותה ותשתתפו בהסורי עם זה מפריע ,✋
הייהעלתי היום הגרלה שווה של פורטנייט!אשמח שתראו אותה ותשתתפו בהסורי עם זה מפריע ,😁
חחח עשיתה סרטון כמו יצאתה צדיק ,😄
ימלךךךך,😋
איזה כיף לחזור מיום קשה ולראות סרטון של מר שיבולת אם משקה קר ,😄
איזה כיף לחזור מיום קשה ולראות סרטון של מר שיבולת אם משקה קר ,👍
אני חושב שמה שאמרת יקרה חוץ מה האתרי חפירה אני לא חושב שיהיה עוד אחד מחכה שתעלה עוד סרטון ,❤
אתה מלך,👑
מר שיבולת מת עליך אתה הערוץ האהוה עלי מת עלייך וקניתי ריקוד ב800 ויבקס מת עליך,❤
תשמע אח שלי גיבור אתה ממש תותח ואני ממש אוהב את הסרטונים שלך ונראה לי שרואיין הולך להיות כמו בקוביה הולך להגיע חפץ גדול להתהלך במפה ובסוף רואיין הולך לצאת וייקרה משהו וזה גם דומה לכדור של מלך הקרח ואז בסוף הייתה סופה משהו כזה ויכול להיות שמלך האש מזמן את רואיין כמו שמלך הקרח השתמש בכוח הקוביה בשביל לזמן את הסופה ואם הולך לצאת סקיין של רואיין אני ב100% קונה אותו תמשיך עם הסרטונים הקטלניים שלך ושבת שלום אח שלי גיבור,🤔
ואוו זה מה שהולך לקרות תודה מר שיבולת,😁
חג פסח שמח לכולם ,👑
חג פסח שמח לכולם ,💖
עונה 8 קשור למילחמת מלך הקרח נגד מלך האש(/) ,💥
עונה 8 קשור למילחמת מלך הקרח נגד מלך האש(/) ,🔥
עונה 8 קשור למילחמת מלך הקרח נגד מלך האש(/) ,❄
היי מר שיבולתאני סאב שלך מ1000 הראשוניםחבר שלי הכיר לי את הערוץ ומאז אני תמיד צופה בך כי לך יש את הסרטונים והמדריכים הכי טובים!אתה משקיע ברמות וכל יום מוציא סרטו אחד לפחות!מגיע לך המון!לכן שמתי את הקוד שלך בערוץ והפעלתי את הפעמון!אוהב אותך המוןבהצלחה בהמשך,❤️
היי מר שיבולתאני סאב שלך מ1000 הראשוניםחבר שלי הכיר לי את הערוץ ומאז אני תמיד צופה בך כי לך יש את הסרטונים והמדריכים הכי טובים!אתה משקיע ברמות וכל יום מוציא סרטו אחד לפחות!מגיע לך המון!לכן שמתי את הקוד שלך בערוץ והפעלתי את הפעמון!אוהב אותך המוןבהצלחה בהמשך,😃
יגבר תודה על כול הסירטונים שהתה הושה לנו,💜
מה אומרים על הסרטון? ,😁
תגיד כמה משחקים לקח לך להיות כל כך טוב? אפק זה אתה?  סתם ימלך,😂
מאוד נהניתי אחשלי אשמח לעוד תוכן כזה חוץ מהמדריכים שלך שגם הם טיל !אוהב אותך,💙
חייב להגיד שאתה לא משהו בסקוואדים והכל עדיף שתחזור אל כל ההודעות על העידכונים ,😂
אולי תעשה עוד אחד ותיכנס אליי,😜
עשיתי לייק וסאב!,🤑
עשיתי לייק וסאב!,😄
עשיתי לייק וסאב!,👍
עשיתי לייק וסאב!,😋
עשיתי לייק וסאב!,😍
מההההההההה זה פסטיבל הגיימינג זה נירה מגניב פצצות והראש שלי איתפוצץ גם אני רוצה להיות שמע אבל זה ממש מגניב ,💥
מההההההההה זה פסטיבל הגיימינג זה נירה מגניב פצצות והראש שלי איתפוצץ גם אני רוצה להיות שמע אבל זה ממש מגניב ,🤙
היום ה-7 באפריל לא אחד באפריל רגע זה אומר שאתה לא עובד עלינו אתה מת ,😭
חחחחחחח,🤦‍♂️
חחחחחחח,😂
מר שיבולת מת מליגמה,😭
הוא היה רק בן שנה,😭
רק שתדע שאני וכל החברים שלי מכל הכיתה חולים על סנובי נוחתים כל אחד בבית משלו הבית שלי זה הראשון שנהרס על ידי הוויקינגים וככה גם הלוט שלו,😪
אחד הסרטונים הטובים שלך ונפל לך באמצע הסרטון ,👑
אתה היוטיובר האהוב עליי,😍
מי שמסכים שהגדר דומה לזו של דאסטי שיתן לייק לתגובה ( אני אוהב לסחוט לייקים חח),😀
